Area,Perimiter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent,class
11532,422.6910095,168.9230957,88.0403595,0.853443086,11798,0.630680859,class2
11750,428.375,178.5536194,84.70418549,0.88031435,11869,0.608682156,class2
11859,436.2529907,184.635376,82.1749115,0.895497799,12049,0.64813906,class2
13553,455.1900024,179.3602295,97.49701691,0.839356005,13877,0.721211135,class2
10458,396.0920105,161.5518494,83.17004395,0.857298613,10642,0.695576966,class2
12402,437.6579895,175.2316589,91.14551544,0.854079247,12595,0.765933812,class2
15705,498.9639893,208.5411682,96.63723755,0.886151075,16009,0.773645341,class1
10975,412.7380066,169.450119,83.2436142,0.871014476,11149,0.78707689,class2
11437,430.6119995,184.1344604,79.24053955,0.902666569,11587,0.687939823,class2
11485,424.4880066,175.3153687,84.48103333,0.876236975,11688,0.606260538,class2
12368,449.8580017,182.7323761,87.26390839,0.878604412,12722,0.608661413,class2
10773,414.8919983,159.6753082,88.12444305,0.833911836,11174,0.6328125,class2
14855,495.8989868,208.5706177,92.42722321,0.896449506,15191,0.590609074,class1
13568,482.4570007,201.8804779,87.07385254,0.902201951,14068,0.635801315,class1
11710,424.4909973,173.7900391,86.49894714,0.867337227,11880,0.732791007,class2
12735,440.7330017,175.2460785,94.10066986,0.843605757,13037,0.799686015,class2
12101,435.9289856,178.3973236,86.98376465,0.873075843,12302,0.740575254,class2
17948,526.9180298,214.0938263,107.54245,0.864684939,18322,0.666369617,class1
15004,506.9440002,218.6036224,88.09037018,0.915213883,15277,0.714884698,class1
13269,458.493988,183.4043579,93.3401413,0.860807359,13619,0.610742867,class2
9414,407.8250122,179.5458832,66.91815948,0.927948713,9583,0.810433865,class2
11415,424.9630127,172.6956177,85.28923798,0.869535565,11735,0.691315413,class2
14106,487.2520142,209.5693817,86.55519867,0.910724461,14348,0.542705476,class1
10803,411.3099976,165.2231293,84.78220367,0.858306348,11098,0.643073976,class2
12688,466.8380127,193.7866669,84.3717041,0.900244594,12956,0.601897538,class1
13576,475.0499878,200.9994202,86.54899597,0.902546108,13888,0.583286762,class1
10866,404.3580017,163.9323578,85.32536316,0.853866994,11039,0.628673911,class2
10767,410.6229858,166.0231781,83.88679504,0.862960398,10978,0.772160053,class2
10566,405.302002,164.9469757,82.92601776,0.864435613,10834,0.604013026,class2
14294,484.1940002,205.1284027,89.00131226,0.900970221,14542,0.70445025,class1
15830,520.7819824,215.1391754,95.17147064,0.89683181,16326,0.61051333,class1
15308,513.9899902,219.4679108,90.02393341,0.911999285,15720,0.763262868,class1
14345,491.0190125,207.2198334,88.91106415,0.903272986,14650,0.592621684,class1
14489,496.3850098,210.0363922,88.53156281,0.906825662,14843,0.615348697,class1
10729,414.6990051,171.7298737,81.42697906,0.880440116,10987,0.794211268,class2
16419,531.4210205,224.0659485,94.54113007,0.906626344,16874,0.550419033,class1
10655,417.973999,177.5075836,77.15759277,0.90058881,10822,0.733562827,class2
11245,421.5480042,174.5754852,82.9138031,0.880015314,11475,0.681928456,class2
12587,461.7810059,193.9949493,83.73388672,0.902051151,12910,0.669521272,class2
11937,427.3349915,172.9316406,88.59191132,0.858809888,12111,0.772321403,class2
12971,458.0350037,192.3374634,86.7547226,0.892496288,13248,0.777451456,class1
14155,480.5220032,200.5467377,91.05967712,0.890972555,14462,0.722193897,class1
10536,397.4989929,160.9679108,83.69868469,0.854183793,10711,0.675384641,class2
12249,438.9020081,181.7255554,86.36489105,0.879851341,12428,0.62751025,class2
10667,411.7470093,163.9302521,84.71981049,0.856103718,10987,0.666104674,class2
13675,478.6069946,194.8029175,90.32216644,0.886013627,14146,0.581420064,class1
11178,419.2780151,166.6143036,87.0708847,0.852584481,11507,0.604477584,class2
10349,408.0759888,169.3677216,79.00406647,0.884539783,10608,0.657329798,class2
11605,429.2250061,175.0144958,85.50439453,0.872532487,11933,0.60976249,class2
11940,443.9679871,187.3336182,82.18278503,0.898634791,12184,0.636392713,class1
12899,462.2690125,190.4305267,87.37380981,0.88852793,13132,0.682956517,class2
12901,475.303009,209.585968,79.26891327,0.925717056,13219,0.682809353,class1
12239,432.2980042,168.4900818,94.25421906,0.828894377,12489,0.682599008,class2
11128,441.4330139,184.4109802,79.25365448,0.902940094,11403,0.55810219,class1
12339,435.9370117,173.02742,92.28986359,0.845873892,12646,0.737493277,class2
12692,456.7929993,181.2328186,91.12804413,0.86438936,13147,0.783553541,class2
11857,433.2000122,177.9076233,86.17068481,0.874870777,12171,0.716694891,class2
14011,475.8729858,197.7286377,91.15908051,0.887383878,14315,0.777611256,class1
10623,423.0230103,175.0342712,78.42090607,0.894017696,10897,0.587295473,class2
12546,442.0660095,184.2648315,87.30493164,0.880631745,12744,0.678896129,class2
14246,488.9159851,210.7537231,86.88517761,0.911066532,14453,0.748057127,class1
10860,411.8460083,165.193985,85.3247757,0.856279552,11212,0.751973391,class2
15746,503.2309875,204.8744354,99.44870758,0.874284983,16171,0.753036797,class1
12281,437.4590149,179.5417938,88.17609406,0.871093392,12532,0.745749354,class2
16990,535.3389893,224.0871735,98.6626358,0.897857189,17371,0.600905418,class1
11652,429.5209961,172.4120483,87.48265839,0.861707985,11982,0.630519509,class2
11963,448.4259949,191.0770569,80.81423187,0.906157434,12205,0.755908012,class1
12408,437.0140076,179.7411652,88.8296051,0.8693434,12598,0.63692826,class2
10918,422.4890137,176.8049011,79.6038208,0.892909884,11118,0.798858583,class2
11365,421.1759949,179.1328735,81.11463928,0.891602814,11499,0.652036726,class2
10736,417.394989,178.9036713,76.73338318,0.903347731,10901,0.743387341,class2
9798,416.6679993,182.4251862,69.40626526,0.924795628,9994,0.586706579,class2
13665,482.0769958,208.964035,84.61726379,0.914344609,13998,0.60121429,class1
16405,526.5700073,221.6125183,95.43670654,0.902520597,16837,0.65888828,class1
11784,438.1199951,181.7578888,83.74436188,0.887531638,11981,0.803765118,class1
11323,422.4379883,169.9845581,86.26496124,0.861659348,11628,0.60312134,class2
10854,415.2799988,170.1440277,82.00539398,0.876184225,11071,0.623721421,class2
12184,434.4079895,181.7460785,85.97194672,0.881044567,12336,0.728708148,class2
11487,428.0889893,173.9547729,85.48769379,0.870913506,11695,0.648616612,class2
10366,403.4599915,162.3561707,83.06848145,0.859197855,10680,0.707528472,class2
11494,433.0580139,171.5824585,86.87869263,0.862335205,11858,0.759381592,class2
9070,375.0939941,156.9848938,74.22942352,0.881145954,9233,0.737398386,class2
8652,374.4020081,151.8221436,74.14385223,0.872642279,8866,0.609124184,class2
12863,448.5079956,182.861908,90.77281189,0.868093371,13133,0.736206532,class2
9517,389.0010071,163.5093231,74.76004791,0.88935262,9649,0.581013441,class2
10132,398.6719971,162.8451996,80.07435608,0.87075299,10306,0.668911338,class2
10889,409.0169983,165.9194641,84.85234833,0.85933876,11123,0.804804146,class2
13272,471.8999939,201.4946899,84.15379333,0.908609033,13492,0.565728903,class1
11493,447.1539917,185.5311127,79.75233459,0.902895749,11801,0.570089281,class1
11665,435.7059937,182.7518921,81.97319794,0.893758178,11895,0.645902574,class2
13080,474.2600098,198.9573669,84.75006104,0.904736817,13511,0.702772379,class1
12861,471.92099,193.2509155,86.45822144,0.89433974,13330,0.633421957,class1
11307,437.8800049,181.0375824,80.66364288,0.895250618,11662,0.718452156,class2
13333,467.0249939,196.7969971,87.27310944,0.896290362,13589,0.694427073,class2
12714,461.8900146,196.560318,83.11239624,0.906207144,12900,0.641408563,class1
13909,488.7080078,206.3518524,86.97563171,0.906832159,14362,0.543341517,class1
10763,411.2829895,168.5705872,81.79901886,0.874374986,10963,0.767305911,class2
15326,505.3779907,208.0990753,95.35768127,0.888832569,15684,0.586214781,class1
14836,495.105011,208.5952759,91.38999939,0.898915946,15164,0.600550532,class1
11562,424.9710083,174.3947754,85.48675537,0.871614993,11739,0.755291343,class2
14456,497.9880066,210.5318909,88.8842926,0.90650773,14865,0.67804879,class1
12347,475.3900146,207.0969238,77.08044434,0.928154528,12857,0.52094847,class1
14243,481.322998,198.6628876,92.82254028,0.884132385,14592,0.794499934,class1
14982,505.0780029,217.3649902,88.5952301,0.913166225,15325,0.559238493,class1
12692,448.0610046,182.1931763,90.43366241,0.868115962,12999,0.735086322,class2
9585,397.7200012,163.8531189,75.40805817,0.887806237,9759,0.726301432,class2
16085,520.7059937,217.4963074,95.40557098,0.89865613,16514,0.702708602,class1
13328,473.0440063,201.3988647,85.25860596,0.905974567,13588,0.780099511,class1
10789,413.7399902,170.5182953,81.97903442,0.876850069,11016,0.690540195,class2
11247,418.0820007,174.7965393,82.57595825,0.881377935,11407,0.788267434,class2
12315,444.6229858,183.1751862,86.46495819,0.881580234,12523,0.611166239,class2
16190,529.6610107,224.3868561,93.10742188,0.909848094,16530,0.534817636,class1
?,422.3739929,173.3438568,80.02292633,0.887065947,11007,0.766573668,class2
9876,384.4599915,156.1647644,81.23886871,0.854036808,9999,0.632347286,class2
11682,437.0400085,176.2309875,86.32249451,0.871820271,11969,0.581194043,class2
15586,505.8770142,218.5732117,91.24372101,0.908699214,15814,0.823784351,class1
14569,500.368988,216.6696625,86.45754242,0.916938186,14801,0.806699872,class1
13133,450.1319885,179.1512146,94.11334991,0.8508991,13351,0.635303795,class2
12556,474.0239868,207.954422,77.71006775,0.927554488,12832,0.564822316,class1
12991,472.82901,196.8968353,85.49542999,0.900809586,13380,0.736451268,class1
14573,493.7799988,209.3558197,89.43750763,0.904155552,14847,0.650580347,class1
13651,502.0799866,222.0735626,79.33726501,0.934006214,14034,0.792648911,class1
10983,417.7099915,171.8403473,82.69300842,0.876599848,11229,0.774814844,class2
10570,419.9530029,181.806366,74.52000427,0.912136495,10781,0.585920155,class2
13930,484.8619995,205.2724609,87.23548889,0.905205488,14330,0.799426138,class1
15526,514.3909912,216.9185791,91.82958221,0.905972481,15936,0.580845475,class1
12361,443.8190002,178.1721191,89.32095337,0.865262926,12581,0.780366182,class2
14930,506.7810059,207.5966644,92.55151367,0.8951208,15361,0.612512827,class1
14641,505.0020142,211.5836487,90.03343201,0.904948235,15034,0.629557967,class1
13700,455.625,185.9585419,94.56549072,0.861044288,13893,0.614515126,class2
12900,461.8359985,195.3451385,84.57197571,0.901424587,13160,0.591797411,class2
11459,435.4530029,175.3064423,85.23181915,0.873854458,?,0.583898067,class2
15107,488.8659973,205.21521,94.36981964,0.887992561,15322,0.787232935,class1
13043,471.3569946,199.2896423,84.55069733,0.905540228,13422,0.736434996,class1
13998,484.8819885,198.7212982,90.92340851,0.889187813,14328,0.599511743,class1
12709,456.1740112,191.3734131,85.73983765,0.89402169,12934,0.78281492,class1
11136,427.1099854,175.6530762,81.91877747,0.884591401,11474,0.574375927,class2
11433,426.9249878,175.868515,84.19808197,0.877948105,11719,0.607524335,class2
11072,421,174.7893066,81.57894135,0.884401262,11245,0.795402288,class2
9976,406.07901,168.061203,76.86061096,0.889293432,10295,0.573366284,class2
13418,474.901001,194.5457001,89.70830536,0.887339413,13973,0.604305506,class1
14954,501.8569946,212.0377655,90.7955246,0.903681874,15225,0.81462115,class1
10598,411.4790039,162.2022858,85.22140503,0.850854099,10936,0.593526006,class2
11462,424.5570068,175.4199982,84.14051819,0.87745893,11650,0.798245013,class2
12466,453.446991,185.6161194,86.58856964,0.884525001,12706,0.601989567,class2
15236,497.2770081,209.1615601,94.06529999,0.89316678,15563,0.763709247,class1
9819,410.6480103,172.6212616,73.48200226,0.904872179,10096,0.588245869,class2
15783,510.1940002,219.5517731,92.24810791,0.907447457,16024,0.797927201,class1
11607,426.428009,172.1815338,87.26352692,0.86205709,11842,0.644189119,class2
10796,416.2590027,168.6011963,82.71273041,0.871394992,10985,0.598182619,class2
11531,445.7390137,187.9770966,79.08082581,0.907202661,11918,0.605428934,class2
11312,421.54599,168.256012,87.21075439,0.855185688,11622,0.769209862,class2
14362,504.5769958,211.2930603,88.26586151,0.908565998,14724,0.541860044,class1
10833,427.6839905,177.2799072,79.53668976,0.893707395,11158,0.763102293,class2
10085,404.6799927,168.401062,77.30437469,0.888410866,10342,0.571712017,class2
10627,411.4410095,172.2612762,79.84104919,0.886103153,10800,0.802401066,class2
12297,440.6010132,173.326355,92.03753662,0.847367346,12678,0.722163498,class2
12115,449.197998,187.5915833,83.37023926,0.895816445,12440,0.566863179,class2
12907,466.2399902,194.4692688,85.91094971,0.897127688,13268,0.635405898,class1
12274,441.8529968,179.8539124,87.76013947,0.872870266,12587,0.615979135,class2
10928,408.8630066,168.1287231,83.06417847,0.869432867,11113,0.626857102,class2
10585,409.3160095,167.7482758,81.42166138,0.874303281,10819,0.683564723,class2
11465,434.1350098,180.835083,82.00426483,0.89126879,11727,0.650607169,class2
10453,411.447998,175.732193,76.61852264,0.899948597,10589,0.805626214,class2
10267,424.9490051,182.4091187,72.53786469,0.917530358,10455,0.547427356,class2
10871,416.5379944,171.4437103,82.22730255,0.877478004,11156,0.600840092,class2
16182,509.9219971,211.1650238,98.31332397,0.885008037,16522,0.74812758,class1
12249,440.3859863,178.5881042,88.66049957,0.868063927,12538,0.77319783,class2
11912,439.6359863,179.9776001,85.30269623,0.880544841,12222,0.603964925,class2
10557,412.6679993,168.8085785,80.5927124,0.878674805,10778,0.616071403,class2
14368,491.5629883,211.2970734,87.20801544,0.910854757,14596,0.62442416,class1
12412,456.5799866,191.5716248,83.44985962,0.900137126,12779,0.649502873,class1
12262,443.1669922,190.6796417,82.1251297,0.902496636,12404,0.61816901,class2
11470,426.625,175.5956573,83.90218353,0.878460646,11719,0.7322523,class2
11769,426.3099976,176.1145935,85.90213776,0.872976243,11928,0.791193306,class2
14017,491.0979919,212.42836,84.69094849,0.917090118,14287,0.762124836,class1
11764,428.5610046,171.5862732,88.72550201,0.855931163,12125,0.6880337,class2
15401,499.2640076,202.6498871,97.76850128,0.875923336,15760,0.617324054,class1
13176,458.3429871,193.3373871,87.44839478,0.891860902,13368,0.640669048,class1
17192,528.34198,222.9499359,99.09267426,0.895797908,17457,0.628914237,class1
12344,442.7019958,179.7357788,88.92992401,0.869017482,12609,0.718970239,class2
14990,507.7850037,213.4854584,90.17632294,0.906409383,15318,0.565916657,class1
11506,433.3420105,183.4458618,80.3972702,0.898847461,11675,0.617009878,class2
11243,430.9330139,179.9996643,81.03175354,0.89293921,11524,0.738941848,class2
14918,500.2709961,210.4246063,91.21054077,0.901173055,15185,0.640725017,class1
11746,450.82901,194.190918,77.74389648,0.916363299,11953,0.555208921,class1
12095,444.0339966,186.0676727,83.80880737,0.892816246,12290,0.699942112,class2
11907,448.1650085,185.9811554,82.81884003,0.895377576,12209,0.565384626,class2
12962,456.7139893,185.9990997,90.16757202,0.874639332,13224,0.608373225,class2
12387,449.1359863,185.4027557,86.05038452,0.885768771,12662,0.716425657,class2
14093,488.5979919,204.3924561,?,0.89984113,14463,0.581106722,class1
12289,444.5549927,186.3528595,84.85929871,0.890302837,12448,0.767678678,class2
11792,427.7829895,180.8717499,83.27078247,0.887718976,11923,0.718323588,class2
11718,439.20401,182.2645874,82.59560394,0.891427577,11967,0.648837209,class2
12213,459.1669922,195.5865479,80.6401062,0.911048651,12571,0.543403804,class1
10874,426.8729858,177.2503357,79.62494659,0.893419623,11211,0.639647067,class2
11385,419.0100098,163.7038727,89.73258972,0.8363868,11767,0.640182197,class2
10119,403.5429993,168.5759888,77.24084473,0.888851166,10317,0.772206962,class2
12164,443.7290039,185.8019409,84.33197784,0.89106226,12442,0.636325598,class2
9983,?,167.3749542,76.76596069,0.888618767,10187,0.59692657,class2
14753,494.8519897,212.1030121,89.36529541,0.906907558,15051,0.816888154,class1
15137,494.605011,206.4585266,93.99015045,0.890363872,15400,0.761725068,class1
13814,477.5859985,198.9030762,89.67539978,0.892599881,14168,0.690976381,class1
11546,429.6809998,179.2159576,82.65701294,0.88728863,11698,0.599574208,class2
10512,418.0669861,170.8183594,79.28153992,0.885768235,10776,0.587919474,class2
?,416.9979858,171.7176514,82.5067215,0.877006233,11199,0.747058451,class2
12233,425.1809998,170.946106,92.01290894,0.842780828,12388,0.642759562,class2
10855,?,167.3380127,84.22980499,0.86408186,11135,0.604836464,class2
15448,521.3179932,224.8905334,88.73651123,0.918863118,15847,0.705388129,class1
13518,451.1629944,185.5575867,93.29590607,0.86441046,13741,0.781839192,class2
11358,430.7919922,177.4564819,82.11936951,0.886484742,11546,0.75039643,class2
9972,397.6380005,165.3995819,77.70961761,0.882757127,10230,0.795215309,class2
12459,434.2879944,175.2012482,91.26869965,0.853595555,12651,0.636832952,class2
16011,525.0689697,222.9464569,92.38245392,0.910108268,16298,0.556633294,class1
14516,492.7860107,209.7601318,89.51319885,0.904374003,14836,0.733575881,class1
11241,417.1589966,169.2477875,85.45878601,0.863158584,11390,0.628691256,class2
14441,495.3659973,210.0232849,89.20301819,0.905320466,14805,0.540214002,class1
11990,416.7529907,166.582016,91.98353577,0.833723783,12145,0.661699772,class2
12714,454.5450134,185.1232758,88.69658661,0.87774843,12939,0.62268585,class2
14758,500.0100098,206.285141,92.72486877,0.893281102,15166,0.582399368,class1
12978,465.8500061,199.1293945,83.91191864,0.906877697,13210,0.735130847,class1
10468,427.7139893,182.20401,74.52765656,0.912519097,10672,0.539921582,class2
17180,547.2150269,238.4350891,93.01494598,0.920769989,17517,0.572208881,class1
9746,382.7369995,154.0960846,81.20333862,0.849886596,9935,0.667534232,class2
12593,432.1839905,171.4846954,93.92502594,0.836663902,12785,0.663767636,class2
15830,520.5100098,219.4476166,92.66460419,0.906473398,16121,0.595112801,class1
14546,494.1679993,212.3137207,87.87223816,0.910331786,14826,0.625742078,class1
10272,403.04599,171.383667,76.66117859,0.894380271,10419,0.759201765,class2
16030,512.8530273,210.2474823,97.63128662,0.885644615,16306,0.597799718,class1
15369,499.2659912,205.8752899,95.93621826,0.88478899,15666,0.616041362,class1
13677,485.5289917,207.3946075,85.1431427,0.911843956,13874,0.585663497,class1
10829,404.7510071,160.1178894,87.50862122,0.837441981,11138,0.721452355,class2
10877,424.5750122,175.6068878,80.03326416,0.890106559,11152,0.6159814,class2
8850,381.4339905,159.2512054,71.76094818,0.892718494,9063,0.572519064,class2
12437,462.7269897,193.9209137,83.32164764,0.902986825,12841,0.575947046,class2
16199,511.2279968,210.0016479,99.41775513,0.880839944,16637,0.738264501,class1
10106,408.9419861,167.7952576,78.30336761,0.884436727,10424,0.781230688,class2
13858,490.5700073,203.7094727,88.17392731,0.901470006,14265,0.653186262,class1
10594,401.243988,167.1878052,81.09770966,0.874475598,10738,0.787775159,class2
16608,516.09198,207.6713715,103.3508759,0.867369056,17111,0.696761191,class1
13645,454.6149902,182.6046448,95.70824432,0.85163939,13819,0.627529442,class2
15276,506.6849976,212.1356812,93.06375122,0.898633957,15574,0.579228759,class1
13814,481.4159851,203.0623474,87.31848145,0.902824938,14112,0.637471139,class1
14533,487.20401,196.8149872,95.84307861,0.87341845,14873,0.651120067,class1
10847,414.4509888,165.5851746,85.0072937,0.85816437,11148,0.679721773,class2
13372,472.1700134,197.780365,87.60530853,0.896550059,13750,0.607348859,class1
13720,477.6350098,201.1578674,87.30999756,0.90089494,?,0.664535522,class2
12466,439.1830139,177.4193115,90.01721191,0.86172837,12707,0.609882593,class2
11319,414.0140076,164.7808075,88.50933075,0.843497097,11563,0.746685147,class2
15868,519.5289917,219.1789246,93.26964569,0.904939115,16281,0.571263969,class1
10516,423.3999939,175.9206696,77.73805237,0.897067964,10787,0.636870146,class2
14360,494.4570007,205.0970001,90.11699677,0.898297787,14825,0.657509148,class1
12670,462.9140015,190.2050934,86.21523285,0.891370654,13047,0.713200092,class2
10190,397.7860107,161.4774323,81.7153244,0.862505376,10476,0.786265433,class2
10262,412.7680054,166.6488037,80.32595825,0.876167119,10554,0.575805187,class2
10662,408.2829895,162.6809845,84.36328888,0.85502845,10934,0.653148711,class2
10657,412.8389893,171.1241608,80.39784241,0.882761359,10879,0.724818051,class2
14988,499.355011,212.2619781,90.98807526,0.903466225,15245,0.588688135,class1
13785,489.9159851,213.3764191,82.78991699,0.921659648,14130,0.796636641,class1
12675,466.1010132,195.8082275,83.40395355,0.904748023,12977,0.580250859,class2
14321,494.3450012,211.6689911,86.82541656,0.911998153,14583,0.561277688,class1
11550,420.2739868,170.953064,87.15016174,0.860298872,11776,0.694695055,class2
15136,518.6439819,221.7091064,88.20763397,0.917449176,15469,0.529712319,class1
8628,372.3340149,157.3330383,70.12502289,0.895177007,8782,0.602640212,class2
10863,411.6220093,168.2714233,83.16527557,0.869329512,11057,0.702833831,class2
13541,478.4609985,206.6994934,84.09855652,0.913488805,13768,0.813468695,class1
14871,487.6180115,204.1911011,93.79976654,0.888243735,15067,0.763084948,class1
10591,410.7340088,169.7548065,80.3986969,0.880731106,10751,0.603338242,class2
11703,422.053009,166.0104065,91.12495422,0.835880697,12023,0.653762341,class2
16588,531.3950195,221.885498,96.65257263,0.900142014,16854,0.578987777,class1
14186,484.0599976,201.1923065,91.2587738,0.891210616,14560,0.766520798,class2
14577,489.9079895,204.8460236,91.23347473,0.895343661,14870,0.781399071,class1
10472,412.9890137,168.2035522,80.14659882,0.87918222,10772,0.619425058,class2
10629,416.8900146,172.190918,79.67411804,0.88651073,10819,0.694932997,class2
11715,430.3789978,172.7517853,87.85530853,0.86102432,12009,0.778353572,class2
15475,511.7969971,220.4769287,90.20722961,0.91246897,15734,0.827318907,class1
11793,417.1600037,163.0438385,93.50109863,0.819225073,12022,0.661710262,class2
10462,415.7739868,169.7720642,80.69159698,0.879827201,10789,0.745847285,class2
13024,459.7709961,191.9049988,88.03444672,0.888570666,13325,0.779693484,class1
14421,489.8179932,204.9568329,90.34169006,0.897613168,14716,0.625260174,class1
11745,426.7659912,179.015274,84.02513885,0.88299942,11904,0.685399175,class2
11699,434.8919983,178.2296906,85.45214844,?,12005,0.588925242,class2
12267,438.2640076,175.5909729,90.18747711,0.858016253,12519,0.624084234,class2
13340,471.6390076,197.4100647,87.42580414,0.896588802,13712,0.765610635,class1
14587,491.8039856,204.8346252,91.91319275,0.893672884,14926,0.609824419,class1
14985,516.9609985,219.5333862,88.00939178,0.91612488,15412,0.622973323,class1
14542,490.1459961,208.4299316,89.25757599,0.903666079,14747,0.554128706,class1
12885,463.4379883,192.967865,86.65742493,0.893493056,13263,0.589028597,class2
14850,498.4429932,213.7612762,88.98867035,0.90922761,15071,0.696496427,class1
13697,482.3840027,206.7344513,85.18093109,0.911170006,13927,0.597079337,class1
12349,452.0090027,187.9687347,84.54865265,0.893128455,12646,0.585760355,class2
11599,432.3169861,180.8818512,82.32106018,0.890435457,11788,0.615005314,class2
15725,515.2579956,221.6600952,91.23171997,0.911371887,16027,0.600488782,class1
10574,415.9570007,172.7042999,78.68139648,0.890192568,10831,0.672774732,class2
14104,467.8009949,189.4949036,95.6470108,0.863267243,14409,0.789697647,class2
10925,437.2590027,181.5909424,77.65763092,0.903943717,11231,0.779577553,class2
15404,499.2309875,206.0869293,95.63304138,0.885813057,15740,0.624756634,class1
10167,406.8259888,160.961853,82.92120361,0.857093692,10479,0.665031374,class2
11089,421.6549988,173.6253967,82.34242249,0.880388439,11345,0.666406274,class2
11879,446.1430054,187.9102325,81.59091949,0.900815725,12095,0.652692318,class2
12331,441.4400024,175.6099243,90.82543182,0.855864644,12617,0.61939925,class2
10997,421.4849854,171.5614166,82.59305573,0.876490176,11249,0.610334098,class2
13607,461.0509949,190.5143433,91.71279907,0.876503348,13772,0.60914135,class2
15209,?,214.0500793,91.02632141,0.90507257,15395,0.569369555,class1
12789,454.3890076,183.6245575,89.72113037,0.872501254,13114,0.695054352,class1
12378,459.9760132,191.2494965,83.99846649,0.898384988,12800,0.565515339,class2
11835,431.0339966,180.4618378,84.14440918,0.884641051,12016,0.633023083,class2
14890,502.5409851,206.2285309,93.45731354,0.891422331,15349,0.589819789,class1
14625,497.2520142,212.7985077,88.36369324,0.909709215,14924,0.548945248,class1
13699,480.7290039,197.9709167,89.94907379,0.890820742,14178,0.672046721,class1
12403,451.243988,194.0061951,82.41925049,0.905274093,12596,0.830687821,class1
12685,468.5960083,199.6599884,82.19838715,0.91132313,13042,0.695907414,class1
11387,434.7929993,182.1069336,80.46818542,0.897077501,11612,0.564719319,class2
14115,483.7799988,206.8418732,88.06864929,0.904827833,14312,0.747656107,class1
10561,417.9330139,172.8907166,79.52290344,0.887939394,10804,0.647914112,class2
9933,397.7200012,160.8506317,79.78276825,0.868319452,10161,0.706371784,class2
